settlement,input_count,generated_count,diff,rel_diff,ratio
Csökmõ,78,97,19,0.24358974358974358,1.2435897435897436
Csököly,15,19,4,0.26666666666666666,1.2666666666666666
Csömör,1107,1379,272,0.24570912375790424,1.2457091237579043
Csönge,5,6,1,0.2,1.2
Csörnyeföld,6,8,2,0.3333333333333333,1.3333333333333333
Csörög,60,75,15,0.25,1.25
Csörötnek,8,10,2,0.25,1.25
Cégénydányád,15,19,4,0.26666666666666666,1.2666666666666666
Dabas,1667,2072,405,0.2429514097180564,1.2429514097180563
Dabronc,6,8,2,0.3333333333333333,1.3333333333333333
Dabrony,7,9,2,0.2857142857142857,1.2857142857142858
Dad,56,70,14,0.25,1.25
Dalmand,31,39,8,0.25806451612903225,1.2580645161290323
Damak,8,10,2,0.25,1.25
Darnózseli,10,12,2,0.2,1.2
Daruszentmiklós,40,49,9,0.225,1.225
Darvas,8,10,2,0.25,1.25
Darány,18,22,4,0.2222222222222222,1.2222222222222223
Debrecen,20344,25291,4947,0.2431675186787259,1.2431675186787259
Decs,144,181,37,0.2569444444444444,1.2569444444444444
Dejtár,35,45,10,0.2857142857142857,1.2857142857142858
Demecser,174,217,43,0.2471264367816092,1.2471264367816093
Demjén,31,38,7,0.22580645161290322,1.2258064516129032
Dencsháza,7,9,2,0.2857142857142857,1.2857142857142858
Derecske,698,869,171,0.24498567335243554,1.2449856733524356
Derekegyház,59,74,15,0.2542372881355932,1.2542372881355932
Deszk,379,473,94,0.24802110817941952,1.2480211081794195
Detek,5,6,1,0.2,1.2
Detk,51,64,13,0.2549019607843137,1.2549019607843137
Devecser,470,586,116,0.24680851063829787,1.2468085106382978
Diósberény,7,9,2,0.2857142857142857,1.2857142857142858
Diósd,1301,1621,320,0.24596464258262873,1.2459646425826287
Diósjenõ,125,158,33,0.264,1.264
Diósviszló,28,35,7,0.25,1.25
Doba,26,32,6,0.23076923076923078,1.2307692307692308
Doboz,183,228,45,0.2459016393442623,1.2459016393442623
Domaháza,11,14,3,0.2727272727272727,1.2727272727272727
Domaszék,551,688,137,0.24863883847549909,1.2486388384754992
Dombegyház,55,69,14,0.2545454545454545,1.2545454545454546
Dombiratos,27,34,7,0.25925925925925924,1.2592592592592593
Dombrád,139,173,34,0.2446043165467626,1.2446043165467626
Dombóvár,1358,1688,330,0.24300441826215022,1.2430044182621502
Domony,129,162,33,0.2558139534883721,1.255813953488372
Domoszló,61,77,16,0.26229508196721313,1.2622950819672132
Dormánd,33,42,9,0.2727272727272727,1.2727272727272727
Dorog,779,968,189,0.24261874197689345,1.2426187419768935
Dorogháza,11,14,3,0.2727272727272727,1.2727272727272727
Drávafok,7,9,2,0.2857142857142857,1.2857142857142858
Drávaiványi,13,16,3,0.23076923076923078,1.2307692307692308
Drávaszabolcs,14,18,4,0.2857142857142857,1.2857142857142858
Drávaszerdahely,11,14,3,0.2727272727272727,1.2727272727272727
Drávasztára,8,10,2,0.25,1.25
Drégelypalánk,29,36,7,0.2413793103448276,1.2413793103448276
Dudar,49,60,11,0.22448979591836735,1.2244897959183674
Duka,16,20,4,0.25,1.25
Dunaalmás,72,91,19,0.2638888888888889,1.2638888888888888
Dunabogdány,266,332,66,0.24812030075187969,1.2481203007518797
Dunaegyháza,46,57,11,0.2391304347826087,1.2391304347826086
Dunafalva,30,38,8,0.26666666666666666,1.2666666666666666
Dunaföldvár,670,834,164,0.24477611940298508,1.2447761194029852
Dunaharaszti,2324,2890,566,0.24354561101549052,1.2435456110154905
Dunakeszi,4632,5759,1127,0.24330742659758203,1.243307426597582
Dunakiliti,20,25,5,0.25,1.25
Dunapataj,170,212,42,0.24705882352941178,1.2470588235294118
Dunaszeg,5,6,1,0.2,1.2
Dunaszekcsõ,38,49,11,0.2894736842105263,1.2894736842105263
Dunaszentbenedek,24,30,6,0.25,1.25
Dunaszentgyörgy,76,95,19,0.25,1.25
Dunaszentmiklós,32,40,8,0.25,1.25
Dunasziget,20,25,5,0.25,1.25
Dunatetétlen,22,27,5,0.22727272727272727,1.2272727272727273
Dunavarsány,718,895,177,0.24651810584958217,1.2465181058495822
Dunavecse,191,238,47,0.24607329842931938,1.2460732984293195
Dunaújváros,3025,3763,738,0.24396694214876033,1.2439669421487602
Dusnok,197,245,48,0.2436548223350254,1.2436548223350254
Dág,24,31,7,0.2916666666666667,1.2916666666666667
