settlement,teaor,bin,input_count,generated_count,diff,ratio,input_share_within_settlement_teaor,generated_share_within_settlement_teaor,share_diff
Budapest 03. kerület,43,5-9,54,67,13,1.2407407407407407,0.06474820143884892,0.06467181467181467,-7.638676703425329e-05
Budapest 03. kerület,43,10-19,22,27,5,1.2272727272727273,0.026378896882494004,0.026061776061776062,-0.0003171208207179421
Budapest 03. kerület,43,20-49,11,14,3,1.2727272727272727,0.013189448441247002,0.013513513513513514,0.00032406507226651234
Budapest 03. kerület,43,50-249,10,12,2,1.2,0.011990407673860911,0.011583011583011582,-0.0004073960908493289
Budapest 03. kerület,45,1-4,210,261,51,1.2428571428571429,0.8045977011494253,0.8055555555555556,0.0009578544061302763
Budapest 03. kerület,45,5-9,33,41,8,1.2424242424242424,0.12643678160919541,0.12654320987654322,0.00010642826734780231
Budapest 03. kerület,45,10-19,8,10,2,1.25,0.03065134099616858,0.030864197530864196,0.00021285653469561502
Budapest 03. kerület,45,20-49,5,6,1,1.2,0.019157088122605363,0.018518518518518517,-0.0006385696040868451
Budapest 03. kerület,45,50-249,5,6,1,1.2,0.019157088122605363,0.018518518518518517,-0.0006385696040868451
Budapest 03. kerület,46,1-4,490,609,119,1.2428571428571429,0.6891701828410689,0.6889140271493213,-0.0002561556917476393
Budapest 03. kerület,46,5-9,104,129,25,1.2403846153846154,0.14627285513361463,0.14592760180995476,-0.0003452533236598665
Budapest 03. kerület,46,10-19,70,87,17,1.2428571428571429,0.09845288326300984,0.09841628959276018,-3.659367024966276e-05
Budapest 03. kerület,46,20-49,35,44,9,1.2571428571428571,0.04922644163150492,0.049773755656108594,0.0005473140246036734
Budapest 03. kerület,46,50-249,12,15,3,1.25,0.016877637130801686,0.016968325791855202,9.068866105351597e-05
Budapest 03. kerület,47,1-4,906,1126,220,1.2428256070640176,0.8258887876025525,0.8255131964809385,-0.0003755911216140051
Budapest 03. kerület,47,5-9,116,144,28,1.2413793103448276,0.105742935278031,0.10557184750733138,-0.00017108777069961556
Budapest 03. kerület,47,10-19,48,60,12,1.25,0.04375569735642662,0.04398826979472141,0.00023257243829478969
Budapest 03. kerület,47,20-49,20,25,5,1.25,0.018231540565177756,0.018328445747800588,9.690518262283135e-05
Budapest 03. kerület,47,50-249,7,9,2,1.2857142857142858,0.006381039197812215,0.006598240469208211,0.00021720127139599615
Budapest 03. kerület,49,1-4,377,469,92,1.2440318302387268,0.8997613365155132,0.9001919385796545,0.00043060206414136104
Budapest 03. kerület,49,5-9,22,27,5,1.2272727272727273,0.05250596658711217,0.05182341650671785,-0.0006825500803943202
Budapest 03. kerület,49,10-19,9,11,2,1.2222222222222223,0.021479713603818614,0.02111324376199616,-0.00036646984182245324
Budapest 03. kerület,49,20-49,11,14,3,1.2727272727272727,0.026252983293556086,0.026871401151631478,0.0006184178580753916
Budapest 03. kerület,52,1-4,62,77,15,1.2419354838709677,0.7209302325581395,0.719626168224299,-0.001304064333840449
Budapest 03. kerület,52,5-9,11,14,3,1.2727272727272727,0.12790697674418605,0.1308411214953271,0.002934144751141038
Budapest 03. kerület,52,10-19,8,10,2,1.25,0.09302325581395349,0.09345794392523364,0.0004346881112801543
Budapest 03. kerület,52,20-49,5,6,1,1.2,0.05813953488372093,0.056074766355140186,-0.0020647685285807432
Budapest 03. kerület,53,1-4,396,492,96,1.2424242424242424,1.0,1.0,0.0
Budapest 03. kerület,55,1-4,45,56,11,1.2444444444444445,0.8823529411764706,0.875,-0.007352941176470562
Budapest 03. kerület,55,50-249,6,8,2,1.3333333333333333,0.11764705882352941,0.125,0.00735294117647059
Budapest 03. kerület,56,1-4,286,356,70,1.2447552447552448,0.7096774193548387,0.7105788423153693,0.0009014229605305291
Budapest 03. kerület,56,5-9,67,83,16,1.2388059701492538,0.1662531017369727,0.1656686626746507,-0.0005844390623220008
Budapest 03. kerület,56,10-19,33,41,8,1.2424242424242424,0.08188585607940446,0.08183632734530938,-4.9528734095083404e-05
Budapest 03. kerület,56,20-49,17,21,4,1.2352941176470589,0.04218362282878412,0.041916167664670656,-0.00026745516411346565
Budapest 03. kerület,58,1-4,83,103,20,1.2409638554216869,0.8058252427184466,0.8046875,-0.0011377427184465772
Budapest 03. kerület,58,5-9,9,11,2,1.2222222222222223,0.08737864077669903,0.0859375,-0.001441140776699032
Budapest 03. kerület,58,10-19,11,14,3,1.2727272727272727,0.10679611650485436,0.109375,0.002578883495145637
Budapest 03. kerület,59,1-4,390,485,95,1.2435897435897436,0.948905109489051,0.949119373776908,0.00021426428785698004
Budapest 03. kerület,59,5-9,12,15,3,1.25,0.029197080291970802,0.029354207436399216,0.00015712714442841363
Budapest 03. kerület,59,10-19,9,11,2,1.2222222222222223,0.021897810218978103,0.021526418786692758,-0.0003713914322853451
Budapest 03. kerület,60,1-4,10,12,2,1.2,1.0,1.0,0.0
Budapest 03. kerület,61,1-4,12,15,3,1.25,1.0,1.0,0.0
Budapest 03. kerület,62,1-4,879,1093,214,1.2434584755403868,0.8825301204819277,0.8821630347054076,-0.0003670857765201152
Budapest 03. kerület,62,5-9,44,55,11,1.25,0.04417670682730924,0.04439063761097659,0.0002139307836673543
Budapest 03. kerület,62,10-19,35,44,9,1.2571428571428571,0.035140562248995984,0.03551251008878128,0.00037194783978529433
Budapest 03. kerület,62,20-49,29,36,7,1.2413793103448276,0.029116465863453816,0.029055690072639227,-6.077579081458992e-05
Budapest 03. kerület,62,50-249,9,11,2,1.2222222222222223,0.009036144578313253,0.00887812752219532,-0.0001580170561179331
Budapest 03. kerület,63,1-4,191,237,46,1.2408376963350785,1.0,1.0,0.0
Budapest 03. kerület,64,1-4,17,21,4,1.2352941176470589,0.7391304347826086,0.7241379310344828,-0.014992503748125885
Budapest 03. kerület,64,5-9,6,8,2,1.3333333333333333,0.2608695652173913,0.27586206896551724,0.01499250374812594
Budapest 03. kerület,66,1-4,431,536,105,1.2436194895591648,0.9751131221719457,0.9745454545454545,-0.0005676676264911862
Budapest 03. kerület,66,5-9,11,14,3,1.2727272727272727,0.024886877828054297,0.025454545454545455,0.0005676676264911584
Budapest 03. kerület,68,1-4,906,1126,220,1.2428256070640176,0.9151515151515152,0.9154471544715447,0.0002956393200295171
Budapest 03. kerület,68,5-9,50,62,12,1.24,0.050505050505050504,0.05040650406504065,-9.854644000985291e-05
Budapest 03. kerület,68,10-19,26,32,6,1.2307692307692308,0.026262626262626262,0.026016260162601626,-0.00024636610002463574
Budapest 03. kerület,68,20-49,8,10,2,1.25,0.00808080808080808,0.008130081300813009,4.927322000492819e-05
